# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04829e-05 to 66.9325 h/Mpc,
# number of wavenumbers equal to 621
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       6.382830085927e-03       1.861738009282e-01      -3.169487553142e+02      -3.170576664370e+02       1.898490738719e-01      -2.480283626167e+02      -3.166494708862e+02       4.083642957710e-01       4.083642920126e-01 
       6.509118352564e-03       1.855235581344e-01      -3.284515032883e+02      -3.285677254663e+02       1.891858442307e-01      -2.557838497534e+02      -3.281385627739e+02       4.069194593087e-01       4.069194560036e-01 
       6.635529834304e-03       1.848742618427e-01      -3.401255328602e+02      -3.402494354624e+02       1.885235801142e-01      -2.635924007347e+02      -3.397986701973e+02       4.054767416536e-01       4.054767387412e-01 
       6.762058461984e-03       1.842260418558e-01      -3.519686050607e+02      -3.521005648479e+02       1.878624137873e-01      -2.714505017901e+02      -3.516275552096e+02       4.040364138517e-01       4.040364112800e-01 
       6.888698597270e-03       1.835789624991e-01      -3.639784016224e+02      -3.641188077859e+02       1.872024108583e-01      -2.793546333176e+02      -3.636229051419e+02       4.025986181547e-01       4.025986158791e-01 
       7.015444997508e-03       1.829330684577e-01      -3.761525923643e+02      -3.763018437533e+02       1.865436169037e-01      -2.873013299081e+02      -3.757823933877e+02       4.011634537800e-01       4.011634517623e-01 
       7.142292783895e-03       1.822884276578e-01      -3.884889075573e+02      -3.886474167979e+02       1.858861011366e-01      -2.952872484905e+02      -3.881037575100e+02       3.997310637053e-01       3.997310619127e-01 
       7.269237412634e-03       1.816450885737e-01      -4.009850789893e+02      -4.011532769547e+02       1.852299130899e-01      -3.033091294321e+02      -4.005847407062e+02       3.983015680108e-01       3.983015664147e-01 
       7.396274648769e-03       1.810030612242e-01      -4.136387592105e+02      -4.138170918057e+02       1.845750629243e-01      -3.113637301817e+02      -4.132230046937e+02       3.968749830151e-01       3.968749815911e-01 
       7.523400542400e-03       1.803624434681e-01      -4.264478252986e+02      -4.266367531666e+02       1.839216504077e-01      -3.194480527939e+02      -4.260164355043e+02       3.954515216155e-01       3.954515203425e-01 
       7.650611407063e-03       1.797232915350e-01      -4.394100953368e+02      -4.396101023116e+02       1.832697329196e-01      -3.275591263891e+02      -4.389628676671e+02       3.940313130316e-01       3.940313118911e-01 
       7.777903800034e-03       1.790855979379e-01      -4.525232076224e+02      -4.527347906223e+02       1.826193024654e-01      -3.356938971842e+02      -4.520599479313e+02       3.926142967059e-01       3.926142956819e-01 
       7.905274504381e-03       1.784494096108e-01      -4.657851166984e+02      -4.660087821608e+02       1.819704076927e-01      -3.438495903370e+02      -4.653056360541e+02       3.912006728459e-01       3.912006719245e-01 
       8.032720512580e-03       1.778147354540e-01      -4.791935375319e+02      -4.794298149809e+02       1.813230573599e-01      -3.520232888601e+02      -4.786976640943e+02       3.897904213045e-01       3.897904204736e-01 
       8.160239011548e-03       1.771816388110e-01      -4.927464065993e+02      -4.929958287193e+02       1.806773160259e-01      -3.602122411390e+02      -4.922339686003e+02       3.883836756423e-01       3.883836748913e-01 
       8.287827368958e-03       1.765500725130e-01      -5.064413742923e+02      -5.067044907700e+02       1.800331356080e-01      -3.684134963251e+02      -5.059122121078e+02       3.869803336462e-01       3.869803329659e-01 
       8.415483120703e-03       1.759201835564e-01      -5.202766808818e+02      -5.205540448921e+02       1.793906660648e-01      -3.766245138080e+02      -5.197306347400e+02       3.855807239018e-01       3.855807232840e-01 
       8.543203959417e-03       1.752918941820e-01      -5.342499330953e+02      -5.345421130518e+02       1.787498281271e-01      -3.848422802589e+02      -5.336868538157e+02       3.841846781490e-01       3.841846775867e-01 
       8.670987723936e-03       1.746652622052e-01      -5.483591514113e+02      -5.486667290623e+02       1.781106807729e-01      -3.930640569649e+02      -5.477788980763e+02       3.827923251545e-01       3.827923246414e-01 
       8.798832389631e-03       1.740402858894e-01      -5.626022041475e+02      -5.629257687452e+02       1.774732222480e-01      -4.012869683074e+02      -5.620046393200e+02       3.814036628250e-01       3.814036623556e-01 
       8.926736059513e-03       1.734169841447e-01      -5.769770380433e+02      -5.773171917958e+02       1.768374718493e-01      -4.095081790050e+02      -5.763620321476e+02       3.800187343015e-01       3.800187338710e-01 
       9.054696956058e-03       1.727953869535e-01      -5.914816599519e+02      -5.918390195839e+02       1.762034601681e-01      -4.177248883841e+02      -5.908490924520e+02       3.786376077909e-01       3.786376073950e-01 
       9.182713413679e-03       1.721754793275e-01      -6.061139499020e+02      -6.064891497270e+02       1.755711719718e-01      -4.259342132236e+02      -6.054637121099e+02       3.772602574167e-01       3.772602570517e-01 
       9.310783871787e-03       1.715572836256e-01      -6.208719034747e+02      -6.212655960279e+02       1.749406299664e-01      -4.341333764711e+02      -6.202038990094e+02       3.758867212414e-01       3.758867209039e-01 
       9.438906868395e-03       1.709407989911e-01      -6.357534932977e+02      -6.361663494259e+02       1.743118333828e-01      -4.423196319842e+02      -6.350676384091e+02       3.745170109482e-01       3.745170106353e-01 
       9.567081034211e-03       1.703260344589e-01      -6.507567326823e+02      -6.511894375190e+02       1.736847914580e-01      -4.504903310863e+02      -6.500529531215e+02       3.731511497258e-01       3.731511494349e-01 
       9.695305087186e-03       1.697129716422e-01      -6.658795571297e+02      -6.663328158967e+02       1.730594855364e-01      -4.586428732085e+02      -6.651577936011e+02       3.717891092494e-01       3.717891089783e-01 
       9.823577827471e-03       1.691016688197e-01      -6.811201976421e+02      -6.815947226533e+02       1.724359749930e-01      -4.667749780465e+02      -6.803803949413e+02       3.704310106195e-01       3.704310103661e-01 
       9.951898132758e-03       1.684920409413e-01      -6.964763553924e+02      -6.969728882539e+02       1.718141732335e-01      -4.748841652622e+02      -6.957184826433e+02       3.690766839518e-01       3.690766837143e-01 
       1.008026495396e-02       1.678841235776e-01      -7.119462331195e+02      -7.124655236896e+02       1.711941166239e-01      -4.829684610705e+02      -7.111702660254e+02       3.677262184322e-01       3.677262182089e-01 
       1.020867731121e-02       1.672779421886e-01      -7.275279956449e+02      -7.280707978402e+02       1.705758311004e-01      -4.910260572774e+02      -7.267339138979e+02       3.663796661264e-01       3.663796659160e-01 
       1.033713429018e-02       1.666734820434e-01      -7.432196920240e+02      -7.437867722326e+02       1.699593017951e-01      -4.990552799861e+02      -7.424074875159e+02       3.650370132923e-01       3.650370130934e-01 
       1.046563503861e-02       1.660706956592e-01      -7.590192146382e+02      -7.596113668844e+02       1.693444804155e-01      -5.070545849344e+02      -7.581889055074e+02       3.636981714034e-01       3.636981712151e-01 
       1.059417876315e-02       1.654696372194e-01      -7.749249100581e+02      -7.755429266000e+02       1.687314221757e-01      -5.150229409696e+02      -7.740765161827e+02       3.623632541012e-01       3.623632539223e-01 
       1.072276472640e-02       1.648702591712e-01      -7.909347043289e+02      -7.915793999315e+02       1.681200787287e-01      -5.229592776117e+02      -7.900682695059e+02       3.610321749585e-01       3.610321747883e-01 
       1.085139224415e-02       1.642725679843e-01      -8.070467632733e+02      -8.077189628952e+02       1.675104566953e-01      -5.308628990291e+02      -8.061623454399e+02       3.597049510725e-01       3.597049509101e-01 
       1.098006068284e-02       1.636765845480e-01      -8.232593659411e+02      -8.239599139744e+02       1.669025775025e-01      -5.387333957718e+02      -8.223570456740e+02       3.583816440440e-01       3.583816438886e-01 
       1.110876945719e-02       1.630822678552e-01      -8.395704678857e+02      -8.403002188614e+02       1.662963993210e-01      -5.465703321803e+02      -8.386503420282e+02       3.570621625158e-01       3.570621623670e-01 
       1.123751802800e-02       1.624896438029e-01      -8.559784075403e+02      -8.567382367070e+02       1.656919486879e-01      -5.543736992436e+02      -8.550405981737e+02       3.557465796915e-01       3.557465795485e-01 
       1.136630590008e-02       1.618986865541e-01      -8.724812300782e+02      -8.732720325477e+02       1.650891992364e-01      -5.621434369840e+02      -8.715258849709e+02       3.544348365782e-01       3.544348364406e-01 
       1.149513262037e-02       1.613093741997e-01      -8.890770463696e+02      -8.898997332622e+02       1.644881287268e-01      -5.698796406644e+02      -8.881043361312e+02       3.531268979317e-01       3.531268977991e-01 
       1.162399777619e-02       1.607217498145e-01      -9.057643083990e+02      -9.066197947964e+02       1.638887810504e-01      -5.775826976762e+02      -9.047744160708e+02       3.518228539262e-01       3.518228537982e-01 
       1.175290099351e-02       1.601357785175e-01      -9.225410892869e+02      -9.234303131711e+02       1.632911207595e-01      -5.852528085986e+02      -9.215342271850e+02       3.505226430547e-01       3.505226429309e-01 
       1.188184193551e-02       1.595514645935e-01      -9.394056281411e+02      -9.403295428010e+02       1.626951521241e-01      -5.928902933738e+02      -9.383820312366e+02       3.492262623047e-01       3.492262621847e-01 
       1.201082030110e-02       1.589688210618e-01      -9.563563056959e+02      -9.573158642250e+02       1.621008885009e-01      -6.004955359833e+02      -9.553162182290e+02       3.479337497047e-01       3.479337495883e-01 
       1.213983582360e-02       1.583878109339e-01      -9.733911872997e+02      -9.743873678309e+02       1.615082922164e-01      -6.080686827864e+02      -9.723348843723e+02       3.466450295190e-01       3.466450294059e-01 
