# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       8.111774765760e+13       1.148693361400e-25       5.713445716538e-09       1.419684262352e+22       1.415326394590e+04       1.744780193558e-10       1.148080893295e+18       3.298856984489e-09       1.191358877859e+44       1.330314309701e+33       7.122459103811e+33       2.741373133188e+43       9.137910443959e+42       3.463310090800e-08       5.500072135095e+43       2.015503404771e+44       2.340357645702e-06       4.778552051877e+00 
       8.055387056366e+13       1.164831354434e-25       5.753463483416e-09       1.400015445361e+22       1.415326394590e+04       1.756993654913e-10       1.140100191951e+18       3.321948983380e-09       1.158576521413e+44       1.302764306072e+33       6.974957289598e+33       2.665939380292e+43       8.886464600973e+42       3.463310090800e-08       5.348727877239e+43       1.960043247249e+44       2.418369567225e-06       4.624405211493e+00 
       7.999391317146e+13       1.181196070133e-25       5.793481250294e-09       1.380619127242e+22       1.415326394590e+04       1.769292610497e-10       1.132174967181e+18       3.345202626264e-09       1.126696229756e+44       1.275784846333e+33       6.830510148620e+33       2.592581321145e+43       8.641937737150e+42       3.463310090800e-08       5.201548125562e+43       1.906109174508e+44       2.496381488749e-06       4.479892548634e+00 
       7.943784823382e+13       1.197790693722e-25       5.835318006575e-09       1.361491532700e+22       1.415326394590e+04       1.781677658771e-10       1.124304833348e+18       3.368619044648e-09       1.095693180972e+44       1.249364114864e+33       6.689054420445e+33       2.521241839345e+43       8.404139464484e+42       3.463310090800e-08       5.058418286275e+43       1.853659193613e+44       2.574393410272e-06       4.344138228979e+00 
       7.888564869297e+13       1.214618455178e-25       5.875335773453e-09       1.342628938740e+22       1.415326394590e+04       1.794149402382e-10       1.116489407495e+18       3.392199377960e-09       1.065543236164e+44       1.223490540741e+33       6.550528154726e+33       2.451865390150e+43       8.172884633834e+42       3.463310090800e-08       4.919226918843e+43       1.802652467141e+44       2.652405331795e-06       4.216369457538e+00 
       7.833728767921e+13       1.231682629855e-25       5.917172529735e-09       1.324027673948e+22       1.415326394590e+04       1.806708448199e-10       1.108728309330e+18       3.415944773605e-09       1.036222920661e+44       1.198152792668e+33       6.414870684069e+33       2.384397957229e+43       7.947993190764e+42       3.463310090800e-08       4.783865649214e+43       1.753049281381e+44       2.730417253318e-06       4.095901758751e+00 
       7.779273850965e+13       1.248986539121e-25       5.957190296613e-09       1.305684117778e+22       1.415326394590e+04       1.819355407336e-10       1.101021161202e+18       3.439856387021e-09       1.007709405738e+44       1.173339774012e+33       6.282022597467e+33       2.318787010608e+43       7.729290035360e+42       3.463310090800e-08       4.652229085442e+43       1.704811015418e+44       2.808429174842e-06       3.982126709897e+00 
       7.725197468684e+13       1.266533551009e-25       5.999027052894e-09       1.287594699840e+22       1.415326394590e+04       1.832090895187e-10       1.093367588085e+18       3.463935381729e-09       9.799804908440e+43       1.149040617943e+33       6.151925714276e+33       2.254981465767e+43       7.516604885889e+42       3.463310090800e-08       4.524214735627e+43       1.657900111056e+44       2.886441096365e-06       3.874501663683e+00 
       7.671496989756e+13       1.284327080868e-25       6.040863809176e-09       1.269755899212e+22       1.415326394590e+04       1.844915531454e-10       1.085767217562e+18       3.488182929401e-09       9.530145863146e+43       1.125244682680e+33       6.024523058742e+33       2.192931643868e+43       7.309772146226e+42       3.463310090800e-08       4.399722928115e+43       1.612280043584e+44       2.964453017888e-06       3.772541093587e+00 
       7.618169801148e+13       1.302370592027e-25       6.084519554861e-09       1.252164243752e+22       1.415326394590e+04       1.857829940174e-10       1.078219679803e+18       3.512600209907e-09       9.267906965640e+43       1.101941546823e+33       5.899758835040e+33       2.132589233074e+43       7.108630776915e+42       3.463310090800e-08       4.278656733896e+43       1.567915293331e+44       3.042464939412e-06       3.675809270674e+00 
